participant_id,noise_db,vocal_db
P01, 40, -26.1353
P01, 45, -25.6116
P01, 50, -25.2439
P01, 55, -26.7017
P01, 60, -23.5252
P01, 65, -24.7678
P01, 70, -24.9227
P01, 75, -20.8781
P01, 80, -20.6834
P02, 40, -35.9726
P02, 45, -34.8364
P02, 50, -29.9684
P02, 55, -29.9662
P02, 60, -27.9138
P02, 65, -24.8468
P02, 70, -24.5752
P02, 75, -21.227
P02, 80, -20.6419
P03, 40, -32.6547
P03, 45, -34.7358
P03, 50, -33.2464
P03, 55, -32.269
P03, 60, -28.2433
P03, 65, -28.4986
P03, 70, -26.6098
P03, 75, -25.4707
P03, 80, -21.9006
P04, 40, -30.6576
P04, 45, -29.737
P04, 50, -29.987    
P04, 55, -29.529
P04, 60, -28.9751
P04, 65, -28.2953
P04, 70, -27.7454
P04, 75, -26.3506
P04, 80, -25.1795
P05, 40, -32.6977
P05, 45, -33.4885
P05, 50, -29.5475
P05, 55, -30.4246
P05, 60, -25.4919
P05, 65, -26.8587
P05, 70, -26.6702
P05, 75, -24.2085
P05, 80, -21.8756
P06, 40, -23.3952
P06, 45, -22.7982
P06, 50, -21.1497
P06, 55, -20.0352
P06, 60, -19.1298
P06, 65, -17.3271
P06, 70, -15.2452
P06, 75, -14.0427
P06, 80, -13.8671